MPG,Cylinders,Displacement,Origin,Weight,Acceleration,Model Year,Horsepower
18.0,8,307.0,USA,3504.0,12.0,70,130.0
15.0,8,350.0,USA,3693.0,11.5,70,165.0
18.0,8,318.0,USA,3436.0,11.0,70,150.0
16.0,8,304.0,USA,3433.0,12.0,70,150.0
17.0,8,302.0,USA,3449.0,10.5,70,140.0
15.0,8,429.0,USA,4341.0,10.0,70,198.0
14.0,8,454.0,USA,4354.0,9.0,70,220.0
14.0,8,440.0,USA,4312.0,8.5,70,215.0
14.0,8,455.0,USA,4425.0,10.0,70,225.0
15.0,8,390.0,USA,3850.0,8.5,70,190.0
15.0,8,383.0,USA,3563.0,10.0,70,170.0
14.0,8,340.0,USA,3609.0,8.0,70,160.0
15.0,8,400.0,USA,3761.0,9.5,70,150.0
14.0,8,455.0,USA,3086.0,10.0,70,225.0
24.0,4,113.0,Japan,2372.0,15.0,70,95.0
22.0,6,198.0,USA,2833.0,15.5,70,95.0
18.0,6,199.0,USA,2774.0,15.5,70,97.0
21.0,6,200.0,USA,2587.0,16.0,70,85.0
27.0,4,97.0,Japan,2130.0,14.5,70,88.0
26.0,4,97.0,Europe,1835.0,20.5,70,46.0
25.0,4,110.0,Europe,2672.0,17.5,70,87.0
24.0,4,107.0,Europe,2430.0,14.5,70,90.0
25.0,4,104.0,Europe,2375.0,17.5,70,95.0
26.0,4,121.0,Europe,2234.0,12.5,70,113.0
21.0,6,199.0,USA,2648.0,15.0,70,90.0
10.0,8,360.0,USA,4615.0,14.0,70,215.0
10.0,8,307.0,USA,4376.0,15.0,70,200.0
11.0,8,318.0,USA,4382.0,13.5,70,210.0
9.0,8,304.0,USA,4732.0,18.5,70,193.0
27.0,4,97.0,Japan,2130.0,14.5,71,88.0
28.0,4,140.0,USA,2264.0,15.5,71,90.0
25.0,4,113.0,Japan,2228.0,14.0,71,95.0
25.0,4,98.0,USA,2046.0,19.0,71,
19.0,6,232.0,USA,2634.0,13.0,71,100.0
16.0,6,225.0,USA,3439.0,15.5,71,105.0
17.0,6,250.0,USA,3329.0,15.5,71,100.0
19.0,6,250.0,USA,3302.0,15.5,71,88.0
18.0,6,232.0,USA,3288.0,15.5,71,100.0
14.0,8,350.0,USA,4209.0,12.0,71,165.0
14.0,8,400.0,USA,4464.0,11.5,71,175.0
14.0,8,351.0,USA,4154.0,13.5,71,153.0
14.0,8,318.0,USA,4096.0,13.0,71,150.0
12.0,8,383.0,USA,4955.0,11.5,71,180.0
13.0,8,400.0,USA,4746.0,12.0,71,170.0
13.0,8,400.0,USA,5140.0,12.0,71,175.0
18.0,6,258.0,USA,2962.0,13.5,71,110.0
22.0,4,140.0,USA,2408.0,19.0,71,72.0
19.0,6,250.0,USA,3282.0,15.0,71,100.0
18.0,6,250.0,USA,3139.0,14.5,71,88.0
23.0,4,122.0,USA,2220.0,14.0,71,86.0
28.0,4,116.0,Europe,2123.0,14.0,71,90.0
30.0,4,79.0,Europe,2074.0,19.5,71,70.0
30.0,4,88.0,Europe,2065.0,14.5,71,76.0
31.0,4,71.0,Japan,1773.0,19.0,71,65.0
35.0,4,72.0,Japan,1613.0,18.0,71,69.0
27.0,4,97.0,Europe,1834.0,19.0,71,60.0
26.0,4,91.0,USA,1955.0,20.5,71,70.0
24.0,4,113.0,Japan,2278.0,15.5,72,95.0
25.0,4,97.5,USA,2126.0,17.0,72,80.0
23.0,4,97.0,Europe,2254.0,23.5,72,54.0
20.0,4,140.0,USA,2408.0,19.5,72,90.0
21.0,4,122.0,USA,2226.0,16.5,72,86.0
13.0,8,350.0,USA,4274.0,12.0,72,165.0
14.0,8,400.0,USA,4385.0,12.0,72,175.0
15.0,8,318.0,USA,4135.0,13.5,72,150.0
14.0,8,351.0,USA,4129.0,13.0,72,153.0
17.0,8,304.0,USA,3672.0,11.5,72,150.0
11.0,8,429.0,USA,4633.0,11.0,72,208.0
13.0,8,350.0,USA,4502.0,13.5,72,155.0
12.0,8,350.0,USA,4456.0,13.5,72,160.0
13.0,8,400.0,USA,4422.0,12.5,72,190.0
19.0,3,70.0,Japan,2330.0,13.5,72,97.0
15.0,8,304.0,USA,3892.0,12.5,72,150.0
13.0,8,307.0,USA,4098.0,14.0,72,130.0
13.0,8,302.0,USA,4294.0,16.0,72,140.0
14.0,8,318.0,USA,4077.0,14.0,72,150.0
18.0,4,121.0,Europe,2933.0,14.5,72,112.0
22.0,4,121.0,Europe,2511.0,18.0,72,76.0
21.0,4,120.0,Europe,2979.0,19.5,72,87.0
26.0,4,96.0,Europe,2189.0,18.0,72,69.0
22.0,4,122.0,USA,2395.0,16.0,72,86.0
28.0,4,97.0,Japan,2288.0,17.0,72,92.0
23.0,4,120.0,Japan,2506.0,14.5,72,97.0
28.0,4,98.0,USA,2164.0,15.0,72,80.0
27.0,4,97.0,Japan,2100.0,16.5,72,88.0
13.0,8,350.0,USA,4100.0,13.0,73,175.0
14.0,8,304.0,USA,3672.0,11.5,73,150.0
13.0,8,350.0,USA,3988.0,13.0,73,145.0
14.0,8,302.0,USA,4042.0,14.5,73,137.0
15.0,8,318.0,USA,3777.0,12.5,73,150.0
12.0,8,429.0,USA,4952.0,11.5,73,198.0
13.0,8,400.0,USA,4464.0,12.0,73,150.0
13.0,8,351.0,USA,4363.0,13.0,73,158.0
14.0,8,318.0,USA,4237.0,14.5,73,150.0
13.0,8,440.0,USA,4735.0,11.0,73,215.0
12.0,8,455.0,USA,4951.0,11.0,73,225.0
13.0,8,360.0,USA,3821.0,11.0,73,175.0
18.0,6,225.0,USA,3121.0,16.5,73,105.0
16.0,6,250.0,USA,3278.0,18.0,73,100.0
18.0,6,232.0,USA,2945.0,16.0,73,100.0
18.0,6,250.0,USA,3021.0,16.5,73,88.0
23.0,6,198.0,USA,2904.0,16.0,73,95.0
26.0,4,97.0,Europe,1950.0,21.0,73,46.0
11.0,8,400.0,USA,4997.0,14.0,73,150.0
12.0,8,400.0,USA,4906.0,12.5,73,167.0
13.0,8,360.0,USA,4654.0,13.0,73,170.0
12.0,8,350.0,USA,4499.0,12.5,73,180.0
18.0,6,232.0,USA,2789.0,15.0,73,100.0
20.0,4,97.0,Japan,2279.0,19.0,73,88.0
21.0,4,140.0,USA,2401.0,19.5,73,72.0
22.0,4,108.0,Japan,2379.0,16.5,73,94.0
18.0,3,70.0,Japan,2124.0,13.5,73,90.0
19.0,4,122.0,USA,2310.0,18.5,73,85.0
21.0,6,155.0,USA,2472.0,14.0,73,107.0
26.0,4,98.0,Europe,2265.0,15.5,73,90.0
15.0,8,350.0,USA,4082.0,13.0,73,145.0
16.0,8,400.0,USA,4278.0,9.5,73,230.0
29.0,4,68.0,Europe,1867.0,19.5,73,49.0
24.0,4,116.0,Europe,2158.0,15.5,73,75.0
20.0,4,114.0,Europe,2582.0,14.0,73,91.0
19.0,4,121.0,Europe,2868.0,15.5,73,112.0
15.0,8,318.0,USA,3399.0,11.0,73,150.0
24.0,4,121.0,Europe,2660.0,14.0,73,110.0
20.0,6,156.0,Japan,2807.0,13.5,73,122.0
11.0,8,350.0,USA,3664.0,11.0,73,180.0
20.0,6,198.0,USA,3102.0,16.5,74,95.0
21.0,6,200.0,USA,2875.0,17.0,74,
19.0,6,232.0,USA,2901.0,16.0,74,100.0
15.0,6,250.0,USA,3336.0,17.0,74,100.0
31.0,4,79.0,Japan,1950.0,19.0,74,67.0
26.0,4,122.0,USA,2451.0,16.5,74,80.0
32.0,4,71.0,Japan,1836.0,21.0,74,65.0
25.0,4,140.0,USA,2542.0,17.0,74,75.0
16.0,6,250.0,USA,3781.0,17.0,74,100.0
16.0,6,258.0,USA,3632.0,18.0,74,110.0
18.0,6,225.0,USA,3613.0,16.5,74,105.0
16.0,8,302.0,USA,4141.0,14.0,74,140.0
13.0,8,350.0,USA,4699.0,14.5,74,150.0
14.0,8,318.0,USA,4457.0,13.5,74,150.0
14.0,8,302.0,USA,4638.0,16.0,74,140.0
14.0,8,304.0,USA,4257.0,15.5,74,150.0
29.0,4,98.0,Europe,2219.0,16.5,74,83.0
26.0,4,79.0,Europe,1963.0,15.5,74,67.0
26.0,4,97.0,Europe,2300.0,14.5,74,78.0
31.0,4,76.0,Japan,1649.0,16.5,74,52.0
32.0,4,83.0,Japan,2003.0,19.0,74,61.0
28.0,4,90.0,USA,2125.0,14.5,74,75.0
24.0,4,90.0,Europe,2108.0,15.5,74,75.0
26.0,4,116.0,Europe,2246.0,14.0,74,75.0
24.0,4,120.0,Japan,2489.0,15.0,74,97.0
26.0,4,108.0,Japan,2391.0,15.5,74,93.0
31.0,4,79.0,Europe,2000.0,16.0,74,67.0
19.0,6,225.0,USA,3264.0,16.0,75,95.0
18.0,6,250.0,USA,3459.0,16.0,75,105.0
15.0,6,250.0,USA,3432.0,21.0,75,72.0
15.0,6,250.0,USA,3158.0,19.5,75,72.0
16.0,8,400.0,USA,4668.0,11.5,75,170.0
15.0,8,350.0,USA,4440.0,14.0,75,145.0
16.0,8,318.0,USA,4498.0,14.5,75,150.0
14.0,8,351.0,USA,4657.0,13.5,75,148.0
17.0,6,231.0,USA,3907.0,21.0,75,110.0
16.0,6,250.0,USA,3897.0,18.5,75,105.0
15.0,6,258.0,USA,3730.0,19.0,75,110.0
18.0,6,225.0,USA,3785.0,19.0,75,95.0
21.0,6,231.0,USA,3039.0,15.0,75,110.0
20.0,8,262.0,USA,3221.0,13.5,75,110.0
13.0,8,302.0,USA,3169.0,12.0,75,129.0
29.0,4,97.0,Japan,2171.0,16.0,75,75.0
23.0,4,140.0,USA,2639.0,17.0,75,83.0
20.0,6,232.0,USA,2914.0,16.0,75,100.0
23.0,4,140.0,USA,2592.0,18.5,75,78.0
24.0,4,134.0,Japan,2702.0,13.5,75,96.0
25.0,4,90.0,Europe,2223.0,16.5,75,71.0
24.0,4,119.0,Japan,2545.0,17.0,75,97.0
18.0,6,171.0,USA,2984.0,14.5,75,97.0
29.0,4,90.0,Europe,1937.0,14.0,75,70.0
19.0,6,232.0,USA,3211.0,17.0,75,90.0
23.0,4,115.0,Europe,2694.0,15.0,75,95.0
23.0,4,120.0,Europe,2957.0,17.0,75,88.0
22.0,4,121.0,Europe,2945.0,14.5,75,98.0
25.0,4,121.0,Europe,2671.0,13.5,75,115.0
33.0,4,91.0,Japan,1795.0,17.5,75,53.0
28.0,4,107.0,Europe,2464.0,15.5,76,86.0
25.0,4,116.0,Europe,2220.0,16.9,76,81.0
25.0,4,140.0,USA,2572.0,14.9,76,92.0
26.0,4,98.0,USA,2255.0,17.7,76,79.0
27.0,4,101.0,Europe,2202.0,15.3,76,83.0
17.5,8,305.0,USA,4215.0,13.0,76,140.0
16.0,8,318.0,USA,4190.0,13.0,76,150.0
15.5,8,304.0,USA,3962.0,13.9,76,120.0
14.5,8,351.0,USA,4215.0,12.8,76,152.0
22.0,6,225.0,USA,3233.0,15.4,76,100.0
22.0,6,250.0,USA,3353.0,14.5,76,105.0
24.0,6,200.0,USA,3012.0,17.6,76,81.0
22.5,6,232.0,USA,3085.0,17.6,76,90.0
29.0,4,85.0,USA,2035.0,22.2,76,52.0
24.5,4,98.0,USA,2164.0,22.1,76,60.0
29.0,4,90.0,Europe,1937.0,14.2,76,70.0
33.0,4,91.0,Japan,1795.0,17.4,76,53.0
20.0,6,225.0,USA,3651.0,17.7,76,100.0
18.0,6,250.0,USA,3574.0,21.0,76,78.0
18.5,6,250.0,USA,3645.0,16.2,76,110.0
17.5,6,258.0,USA,3193.0,17.8,76,95.0
29.5,4,97.0,Europe,1825.0,12.2,76,71.0
32.0,4,85.0,Japan,1990.0,17.0,76,70.0
28.0,4,97.0,Japan,2155.0,16.4,76,75.0
26.5,4,140.0,USA,2565.0,13.6,76,72.0
20.0,4,130.0,Europe,3150.0,15.7,76,102.0
13.0,8,318.0,USA,3940.0,13.2,76,150.0
19.0,4,120.0,Europe,3270.0,21.9,76,88.0
19.0,6,156.0,Japan,2930.0,15.5,76,108.0
16.5,6,168.0,Europe,3820.0,16.7,76,120.0
16.5,8,350.0,USA,4380.0,12.1,76,180.0
13.0,8,350.0,USA,4055.0,12.0,76,145.0
13.0,8,302.0,USA,3870.0,15.0,76,130.0
13.0,8,318.0,USA,3755.0,14.0,76,150.0
31.5,4,98.0,Japan,2045.0,18.5,77,68.0
30.0,4,111.0,USA,2155.0,14.8,77,80.0
36.0,4,79.0,Europe,1825.0,18.6,77,58.0
25.5,4,122.0,USA,2300.0,15.5,77,96.0
33.5,4,85.0,Japan,1945.0,16.8,77,70.0
17.5,8,305.0,USA,3880.0,12.5,77,145.0
17.0,8,260.0,USA,4060.0,19.0,77,110.0
15.5,8,318.0,USA,4140.0,13.7,77,145.0
15.0,8,302.0,USA,4295.0,14.9,77,130.0
17.5,6,250.0,USA,3520.0,16.4,77,110.0
20.5,6,231.0,USA,3425.0,16.9,77,105.0
19.0,6,225.0,USA,3630.0,17.7,77,100.0
18.5,6,250.0,USA,3525.0,19.0,77,98.0
16.0,8,400.0,USA,4220.0,11.1,77,180.0
15.5,8,350.0,USA,4165.0,11.4,77,170.0
15.5,8,400.0,USA,4325.0,12.2,77,190.0
16.0,8,351.0,USA,4335.0,14.5,77,149.0
29.0,4,97.0,Europe,1940.0,14.5,77,78.0
24.5,4,151.0,USA,2740.0,16.0,77,88.0
26.0,4,97.0,Japan,2265.0,18.2,77,75.0
25.5,4,140.0,USA,2755.0,15.8,77,89.0
30.5,4,98.0,USA,2051.0,17.0,77,63.0
33.5,4,98.0,USA,2075.0,15.9,77,83.0
30.0,4,97.0,Japan,1985.0,16.4,77,67.0
30.5,4,97.0,Europe,2190.0,14.1,77,78.0
22.0,6,146.0,Japan,2815.0,14.5,77,97.0
21.5,4,121.0,Europe,2600.0,12.8,77,110.0
21.5,3,80.0,Japan,2720.0,13.5,77,110.0
43.1,4,90.0,Europe,1985.0,21.5,78,48.0
36.1,4,98.0,USA,1800.0,14.4,78,66.0
32.8,4,78.0,Japan,1985.0,19.4,78,52.0
39.4,4,85.0,Japan,2070.0,18.6,78,70.0
36.1,4,91.0,Japan,1800.0,16.4,78,60.0
19.9,8,260.0,USA,3365.0,15.5,78,110.0
19.4,8,318.0,USA,3735.0,13.2,78,140.0
20.2,8,302.0,USA,3570.0,12.8,78,139.0
19.2,6,231.0,USA,3535.0,19.2,78,105.0
20.5,6,200.0,USA,3155.0,18.2,78,95.0
20.2,6,200.0,USA,2965.0,15.8,78,85.0
25.1,4,140.0,USA,2720.0,15.4,78,88.0
20.5,6,225.0,USA,3430.0,17.2,78,100.0
19.4,6,232.0,USA,3210.0,17.2,78,90.0
20.6,6,231.0,USA,3380.0,15.8,78,105.0
20.8,6,200.0,USA,3070.0,16.7,78,85.0
18.6,6,225.0,USA,3620.0,18.7,78,110.0
18.1,6,258.0,USA,3410.0,15.1,78,120.0
19.2,8,305.0,USA,3425.0,13.2,78,145.0
17.7,6,231.0,USA,3445.0,13.4,78,165.0
18.1,8,302.0,USA,3205.0,11.2,78,139.0
17.5,8,318.0,USA,4080.0,13.7,78,140.0
30.0,4,98.0,USA,2155.0,16.5,78,68.0
27.5,4,134.0,Japan,2560.0,14.2,78,95.0
27.2,4,119.0,Japan,2300.0,14.7,78,97.0
30.9,4,105.0,USA,2230.0,14.5,78,75.0
21.1,4,134.0,Japan,2515.0,14.8,78,95.0
23.2,4,156.0,USA,2745.0,16.7,78,105.0
23.8,4,151.0,USA,2855.0,17.6,78,85.0
23.9,4,119.0,Japan,2405.0,14.9,78,97.0
20.3,5,131.0,Europe,2830.0,15.9,78,103.0
17.0,6,163.0,Europe,3140.0,13.6,78,125.0
21.6,4,121.0,Europe,2795.0,15.7,78,115.0
16.2,6,163.0,Europe,3410.0,15.8,78,133.0
31.5,4,89.0,Europe,1990.0,14.9,78,71.0
29.5,4,98.0,Japan,2135.0,16.6,78,68.0
21.5,6,231.0,USA,3245.0,15.4,79,115.0
19.8,6,200.0,USA,2990.0,18.2,79,85.0
22.3,4,140.0,USA,2890.0,17.3,79,88.0
20.2,6,232.0,USA,3265.0,18.2,79,90.0
20.6,6,225.0,USA,3360.0,16.6,79,110.0
17.0,8,305.0,USA,3840.0,15.4,79,130.0
17.6,8,302.0,USA,3725.0,13.4,79,129.0
16.5,8,351.0,USA,3955.0,13.2,79,138.0
18.2,8,318.0,USA,3830.0,15.2,79,135.0
16.9,8,350.0,USA,4360.0,14.9,79,155.0
15.5,8,351.0,USA,4054.0,14.3,79,142.0
19.2,8,267.0,USA,3605.0,15.0,79,125.0
18.5,8,360.0,USA,3940.0,13.0,79,150.0
31.9,4,89.0,Europe,1925.0,14.0,79,71.0
34.1,4,86.0,Japan,1975.0,15.2,79,65.0
35.7,4,98.0,USA,1915.0,14.4,79,80.0
27.4,4,121.0,USA,2670.0,15.0,79,80.0
25.4,5,183.0,Europe,3530.0,20.1,79,77.0
23.0,8,350.0,USA,3900.0,17.4,79,125.0
27.2,4,141.0,Europe,3190.0,24.8,79,71.0
23.9,8,260.0,USA,3420.0,22.2,79,90.0
34.2,4,105.0,USA,2200.0,13.2,79,70.0
34.5,4,105.0,USA,2150.0,14.9,79,70.0
31.8,4,85.0,Japan,2020.0,19.2,79,65.0
37.3,4,91.0,Europe,2130.0,14.7,79,69.0
28.4,4,151.0,USA,2670.0,16.0,79,90.0
28.8,6,173.0,USA,2595.0,11.3,79,115.0
26.8,6,173.0,USA,2700.0,12.9,79,115.0
33.5,4,151.0,USA,2556.0,13.2,79,90.0
41.5,4,98.0,Europe,2144.0,14.7,80,76.0
38.1,4,89.0,Japan,1968.0,18.8,80,60.0
32.1,4,98.0,USA,2120.0,15.5,80,70.0
37.2,4,86.0,Japan,2019.0,16.4,80,65.0
28.0,4,151.0,USA,2678.0,16.5,80,90.0
26.4,4,140.0,USA,2870.0,18.1,80,88.0
24.3,4,151.0,USA,3003.0,20.1,80,90.0
19.1,6,225.0,USA,3381.0,18.7,80,90.0
34.3,4,97.0,Europe,2188.0,15.8,80,78.0
29.8,4,134.0,Japan,2711.0,15.5,80,90.0
31.3,4,120.0,Japan,2542.0,17.5,80,75.0
37.0,4,119.0,Japan,2434.0,15.0,80,92.0
32.2,4,108.0,Japan,2265.0,15.2,80,75.0
46.6,4,86.0,Japan,2110.0,17.9,80,65.0
27.9,4,156.0,USA,2800.0,14.4,80,105.0
40.8,4,85.0,Japan,2110.0,19.2,80,65.0
44.3,4,90.0,Europe,2085.0,21.7,80,48.0
43.4,4,90.0,Europe,2335.0,23.7,80,48.0
36.4,5,121.0,Europe,2950.0,19.9,80,67.0
30.0,4,146.0,Europe,3250.0,21.8,80,67.0
44.6,4,91.0,Japan,1850.0,13.8,80,67.0
40.9,4,85.0,Europe,1835.0,17.3,80,
33.8,4,97.0,Japan,2145.0,18.0,80,67.0
29.8,4,89.0,Europe,1845.0,15.3,80,62.0
32.7,6,168.0,Japan,2910.0,11.4,80,132.0
23.7,3,70.0,Japan,2420.0,12.5,80,100.0
35.0,4,122.0,Europe,2500.0,15.1,80,88.0
23.6,4,140.0,USA,2905.0,14.3,80,
32.4,4,107.0,Japan,2290.0,17.0,80,72.0
27.2,4,135.0,USA,2490.0,15.7,81,84.0
26.6,4,151.0,USA,2635.0,16.4,81,84.0
25.8,4,156.0,USA,2620.0,14.4,81,92.0
23.5,6,173.0,USA,2725.0,12.6,81,110.0
30.0,4,135.0,USA,2385.0,12.9,81,84.0
39.1,4,79.0,Japan,1755.0,16.9,81,58.0
39.0,4,86.0,USA,1875.0,16.4,81,64.0
35.1,4,81.0,Japan,1760.0,16.1,81,60.0
32.3,4,97.0,Japan,2065.0,17.8,81,67.0
37.0,4,85.0,Japan,1975.0,19.4,81,65.0
37.7,4,89.0,Japan,2050.0,17.3,81,62.0
34.1,4,91.0,Japan,1985.0,16.0,81,68.0
34.7,4,105.0,USA,2215.0,14.9,81,63.0
34.4,4,98.0,USA,2045.0,16.2,81,65.0
29.9,4,98.0,USA,2380.0,20.7,81,65.0
33.0,4,105.0,Europe,2190.0,14.2,81,74.0
34.5,4,100.0,Europe,2320.0,15.8,81,
33.7,4,107.0,Japan,2210.0,14.4,81,75.0
32.4,4,108.0,Japan,2350.0,16.8,81,75.0
32.9,4,119.0,Japan,2615.0,14.8,81,100.0
31.6,4,120.0,Japan,2635.0,18.3,81,74.0
28.1,4,141.0,Europe,3230.0,20.4,81,80.0
30.7,6,145.0,Europe,3160.0,19.6,81,76.0
25.4,6,168.0,Japan,2900.0,12.6,81,116.0
24.2,6,146.0,Japan,2930.0,13.8,81,120.0
22.4,6,231.0,USA,3415.0,15.8,81,110.0
26.6,8,350.0,USA,3725.0,19.0,81,105.0
20.2,6,200.0,USA,3060.0,17.1,81,88.0
17.6,6,225.0,USA,3465.0,16.6,81,85.0
28.0,4,112.0,USA,2605.0,19.6,82,88.0
27.0,4,112.0,USA,2640.0,18.6,82,88.0
34.0,4,112.0,USA,2395.0,18.0,82,88.0
31.0,4,112.0,USA,2575.0,16.2,82,85.0
29.0,4,135.0,USA,2525.0,16.0,82,84.0
27.0,4,151.0,USA,2735.0,18.0,82,90.0
24.0,4,140.0,USA,2865.0,16.4,82,92.0
23.0,4,151.0,USA,3035.0,20.5,82,
36.0,4,105.0,Europe,1980.0,15.3,82,74.0
37.0,4,91.0,Japan,2025.0,18.2,82,68.0
31.0,4,91.0,Japan,1970.0,17.6,82,68.0
38.0,4,105.0,USA,2125.0,14.7,82,63.0
36.0,4,98.0,USA,2125.0,17.3,82,70.0
36.0,4,120.0,Japan,2160.0,14.5,82,88.0
36.0,4,107.0,Japan,2205.0,14.5,82,75.0
34.0,4,108.0,Japan,2245.0,16.9,82,70.0
38.0,4,91.0,Japan,1965.0,15.0,82,67.0
32.0,4,91.0,Japan,1965.0,15.7,82,67.0
38.0,4,91.0,Japan,1995.0,16.2,82,67.0
25.0,6,181.0,USA,2945.0,16.4,82,110.0
38.0,6,262.0,USA,3015.0,17.0,82,85.0
26.0,4,156.0,USA,2585.0,14.5,82,92.0
22.0,6,232.0,USA,2835.0,14.7,82,112.0
32.0,4,144.0,Japan,2665.0,13.9,82,96.0
36.0,4,135.0,USA,2370.0,13.0,82,84.0
27.0,4,151.0,USA,2950.0,17.3,82,90.0
27.0,4,140.0,USA,2790.0,15.6,82,86.0
44.0,4,97.0,Europe,2130.0,24.6,82,52.0
32.0,4,135.0,USA,2295.0,11.6,82,84.0
28.0,4,120.0,USA,2625.0,18.6,82,79.0
31.0,4,119.0,USA,2720.0,19.4,82,82.0
